
AMDuProfPcm Report

System:,Family(0x19) Model(0x21) Stepping(0)
Number of Sockets :,1
Number of CCDs :,2
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,16

CPU Topology:
Socket, CCD, Core(s)
0,0, 0 1 2 3 4 5 6 7 16 17 18 19 20 21 22 23
0,1, 8 9 10 11 12 13 14 15 24 25 26 27 28 29 30 31

Core P0 state frequency (MHz):,3400.000000
Measured DF Frequency (MHz):,0.000000
Multiplex interval (ms):,250
Sample interval (ms):,1000
Version:,3.5.671

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Package-0,,,,,,,,,,,,,,,,,,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),Mem Ch-A RdBw (GB/s),Mem Ch-A WrBw (GB/s),Mem Ch-B RdBw (GB/s),Mem Ch-B WrBw (GB/s),Mem Ch-C RdBw (GB/s),Mem Ch-C WrBw (GB/s),Mem Ch-D RdBw (GB/s),Mem Ch-D WrBw (GB/s),Mem Ch-E RdBw (GB/s),Mem Ch-E WrBw (GB/s),Mem Ch-F RdBw (GB/s),Mem Ch-F WrBw (GB/s),Mem Ch-G RdBw (GB/s),Mem Ch-G WrBw (GB/s),Mem Ch-H RdBw (GB/s),Mem Ch-H WrBw (GB/s),
0.28,0.10,0.18,0.05,0.00,0.05,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,
0.41,0.10,0.31,0.05,0.00,0.04,0.00,0.00,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,
0.40,0.20,0.20,0.09,0.01,0.09,0.01,0.01,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,
0.27,0.10,0.18,0.04,0.00,0.04,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,
24.81,12.44,12.37,6.04,3.82,6.27,3.83,0.06,2.42,0.06,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.68,22.49,19.19,11.22,7.47,11.22,7.47,0.02,2.02,0.03,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.32,22.79,19.53,11.38,7.54,11.38,7.54,0.02,2.17,0.02,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.41,22.43,18.98,11.19,7.43,11.20,7.43,0.01,2.01,0.02,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.72,22.60,19.12,11.29,7.53,11.30,7.53,0.01,1.98,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.43,22.33,19.10,11.17,7.45,11.16,7.45,0.00,1.95,0.00,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.39,22.34,19.05,11.17,7.43,11.17,7.43,0.01,2.06,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.54,22.47,19.07,11.23,7.47,11.23,7.47,0.00,1.96,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.77,22.56,19.20,11.28,7.49,11.28,7.48,0.01,2.10,0.00,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.44,22.36,19.08,11.18,7.47,11.18,7.47,0.00,2.01,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.25,22.28,18.96,11.14,7.41,11.14,7.41,0.01,2.03,0.01,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.67,22.47,19.19,11.23,7.49,11.23,7.49,0.00,2.01,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.75,22.57,19.18,11.28,7.50,11.28,7.50,0.01,2.15,0.01,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.86,22.57,19.29,11.28,7.53,11.28,7.53,0.00,2.08,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.54,22.44,19.10,11.21,7.46,11.22,7.46,0.00,2.14,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.62,22.41,19.22,11.20,7.51,11.20,7.51,0.00,2.11,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.35,22.32,19.03,11.16,7.43,11.16,7.43,0.00,2.07,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.61,22.44,19.17,11.22,7.51,11.22,7.51,0.00,2.09,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.85,22.55,19.30,11.27,7.54,11.27,7.54,0.00,2.13,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.53,22.44,19.09,11.22,7.51,11.22,7.51,0.00,2.14,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.66,22.55,19.10,11.27,7.48,11.27,7.48,0.00,2.13,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.81,22.58,19.23,11.29,7.54,11.29,7.54,0.00,2.13,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.51,22.38,19.13,11.19,7.48,11.19,7.48,0.00,2.12,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.72,22.55,19.17,11.27,7.50,11.27,7.50,0.01,2.10,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.43,22.33,19.10,11.16,7.46,11.16,7.46,0.00,2.07,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.98,22.66,19.31,11.33,7.55,11.33,7.55,0.01,2.18,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.80,22.59,19.21,11.29,7.49,11.29,7.49,0.00,2.03,0.00,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.64,22.52,19.11,11.25,7.47,11.25,7.47,0.01,2.07,0.01,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.82,22.56,19.26,11.28,7.54,11.28,7.54,0.00,2.18,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.63,22.42,19.21,11.20,7.50,11.20,7.51,0.01,2.04,0.01,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.60,22.49,19.10,11.24,7.48,11.24,7.48,0.00,2.12,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.70,22.51,19.19,11.25,7.49,11.25,7.49,0.01,2.16,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.79,22.53,19.26,11.26,7.55,11.26,7.55,0.00,2.14,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.23,22.29,18.94,11.14,7.39,11.14,7.39,0.01,2.14,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.76,22.53,19.24,11.26,7.53,11.26,7.53,0.00,2.16,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.68,22.51,19.17,11.25,7.51,11.25,7.51,0.01,2.11,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.95,22.65,19.30,11.32,7.56,11.32,7.56,0.00,2.12,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.31,22.33,18.98,11.16,7.41,11.16,7.41,0.00,2.04,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.83,22.61,19.22,11.28,7.51,11.28,7.51,0.02,2.07,0.02,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.70,22.52,19.18,11.25,7.49,11.25,7.49,0.00,2.11,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.69,22.51,19.18,11.25,7.48,11.25,7.48,0.00,2.19,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.33,22.36,18.97,11.17,7.42,11.17,7.42,0.00,2.03,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.82,22.55,19.27,11.27,7.54,11.27,7.54,0.00,2.18,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.47,22.43,19.03,11.21,7.47,11.21,7.47,0.01,2.05,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.59,22.43,19.16,11.21,7.51,11.21,7.51,0.00,2.07,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.50,22.39,19.11,11.19,7.47,11.19,7.47,0.01,2.15,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.62,22.48,19.13,11.24,7.50,11.24,7.50,0.00,2.08,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.82,22.55,19.26,11.27,7.55,11.27,7.55,0.00,2.09,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.72,22.54,19.18,11.27,7.47,11.27,7.47,0.00,2.17,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.68,22.52,19.16,11.25,7.49,11.26,7.49,0.00,2.11,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.85,22.60,19.25,11.29,7.54,11.30,7.54,0.00,2.21,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.96,22.64,19.32,11.32,7.55,11.32,7.56,0.00,2.18,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.69,22.46,19.23,11.22,7.52,11.23,7.52,0.01,2.09,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.31,22.30,19.01,11.14,7.42,11.15,7.42,0.01,2.08,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.59,22.49,19.11,11.23,7.46,11.23,7.46,0.02,2.06,0.01,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
41.58,22.46,19.12,11.22,7.48,11.23,7.48,0.00,2.11,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
