
AMDuProfPcm Report

System:,Family(0x19) Model(0x21) Stepping(0)
Number of Sockets :,1
Number of CCDs :,2
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,16

CPU Topology:
Socket, CCD, Core(s)
0,0, 0 1 2 3 4 5 6 7 16 17 18 19 20 21 22 23
0,1, 8 9 10 11 12 13 14 15 24 25 26 27 28 29 30 31

Core P0 state frequency (MHz):,3400.000000
Measured DF Frequency (MHz):,0.000000
Multiplex interval (ms):,250
Sample interval (ms):,1000
Version:,3.5.671

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Package-0,,,,,,,,,,,,,,,,,,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),Mem Ch-A RdBw (GB/s),Mem Ch-A WrBw (GB/s),Mem Ch-B RdBw (GB/s),Mem Ch-B WrBw (GB/s),Mem Ch-C RdBw (GB/s),Mem Ch-C WrBw (GB/s),Mem Ch-D RdBw (GB/s),Mem Ch-D WrBw (GB/s),Mem Ch-E RdBw (GB/s),Mem Ch-E WrBw (GB/s),Mem Ch-F RdBw (GB/s),Mem Ch-F WrBw (GB/s),Mem Ch-G RdBw (GB/s),Mem Ch-G WrBw (GB/s),Mem Ch-H RdBw (GB/s),Mem Ch-H WrBw (GB/s),
6.67,3.55,3.13,0.43,0.12,0.44,0.12,1.33,1.48,1.35,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.40,23.25,20.15,11.62,7.85,11.62,7.85,0.00,2.22,0.00,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.49,23.34,20.16,11.66,7.87,11.67,7.87,0.00,2.21,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.39,23.25,20.14,11.62,7.86,11.62,7.86,0.00,2.20,0.00,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.20,23.17,20.03,11.58,7.85,11.58,7.85,0.01,2.20,0.01,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.03,23.06,19.97,11.53,7.79,11.53,7.79,0.00,2.19,0.00,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.40,23.26,20.14,11.63,7.84,11.63,7.84,0.00,2.23,0.00,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.38,23.24,20.15,11.62,7.85,11.62,7.85,0.00,2.25,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.36,23.26,20.10,11.63,7.86,11.63,7.86,0.00,2.18,0.00,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.26,23.19,20.07,11.59,7.83,11.59,7.84,0.00,2.24,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.36,23.26,20.10,11.62,7.84,11.63,7.84,0.00,2.17,0.00,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.24,23.20,20.04,11.60,7.82,11.60,7.82,0.00,2.22,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.21,23.19,20.02,11.59,7.83,11.60,7.83,0.00,2.16,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.08,23.12,19.96,11.56,7.80,11.56,7.80,0.00,2.18,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.19,23.19,20.00,11.59,7.81,11.59,7.81,0.00,2.19,0.00,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.27,23.25,20.02,11.62,7.83,11.63,7.83,0.00,2.18,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.23,23.20,20.03,11.60,7.84,11.60,7.84,0.00,2.18,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.18,23.18,20.00,11.59,7.83,11.59,7.83,0.00,2.18,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.94,23.04,19.90,11.51,7.78,11.52,7.78,0.00,2.16,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.14,23.18,19.96,11.59,7.84,11.59,7.84,0.00,2.12,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.17,23.19,19.98,11.59,7.83,11.59,7.83,0.00,2.17,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.25,23.24,20.02,11.61,7.84,11.62,7.84,0.00,2.18,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.21,23.22,19.99,11.61,7.83,11.61,7.83,0.00,2.16,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.14,23.17,19.97,11.58,7.83,11.58,7.83,0.00,2.15,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.27,23.25,20.02,11.62,7.85,11.63,7.85,0.00,2.17,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.25,23.25,20.01,11.62,7.84,11.62,7.85,0.00,2.16,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.15,23.17,19.98,11.58,7.82,11.59,7.82,0.00,2.16,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.21,23.22,19.99,11.60,7.83,11.61,7.83,0.00,2.17,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.28,23.25,20.03,11.62,7.85,11.63,7.85,0.00,2.17,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.99,23.10,19.89,11.55,7.80,11.55,7.80,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.99,23.13,19.86,11.56,7.80,11.56,7.80,0.00,2.14,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.14,23.17,19.97,11.58,7.82,11.58,7.82,0.00,2.17,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.09,23.15,19.94,11.57,7.82,11.57,7.82,0.00,2.14,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.06,23.14,19.93,11.57,7.81,11.57,7.81,0.00,2.15,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.99,23.09,19.89,11.54,7.79,11.54,7.79,0.00,2.15,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.02,23.13,19.89,11.56,7.79,11.56,7.79,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.07,23.16,19.91,11.57,7.80,11.58,7.80,0.00,2.16,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.06,23.16,19.90,11.57,7.80,11.58,7.81,0.00,2.15,0.00,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.19,23.22,19.97,11.61,7.83,11.61,7.83,0.00,2.16,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.22,23.23,20.00,11.61,7.85,11.61,7.85,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.06,23.14,19.92,11.57,7.81,11.57,7.81,0.00,2.14,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.05,23.16,19.89,11.58,7.81,11.58,7.81,0.00,2.13,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.21,23.24,19.97,11.62,7.84,11.62,7.84,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.05,23.14,19.91,11.57,7.80,11.57,7.80,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.10,23.16,19.94,11.58,7.82,11.58,7.82,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.05,23.13,19.92,11.56,7.81,11.56,7.81,0.00,2.14,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.83,22.99,19.84,11.49,7.77,11.49,7.77,0.00,2.14,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.02,23.13,19.89,11.56,7.81,11.56,7.81,0.00,2.12,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.98,23.12,19.86,11.56,7.80,11.56,7.80,0.00,2.14,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.09,23.17,19.92,11.58,7.82,11.58,7.82,0.00,2.14,0.00,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.08,23.18,19.90,11.58,7.82,11.59,7.82,0.00,2.13,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.08,23.17,19.91,11.58,7.80,11.59,7.81,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.98,23.11,19.87,11.55,7.79,11.55,7.79,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.95,23.08,19.87,11.54,7.79,11.54,7.79,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.88,23.02,19.86,11.51,7.79,11.51,7.79,0.00,2.14,0.00,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.92,23.04,19.87,11.52,7.80,11.52,7.80,0.00,2.13,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
42.96,23.08,19.88,11.53,7.81,11.54,7.81,0.00,2.14,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.11,23.15,19.96,11.57,7.83,11.57,7.83,0.00,2.15,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.04,23.12,19.91,11.56,7.82,11.56,7.82,0.00,2.13,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43.19,23.23,19.96,11.61,7.85,11.61,7.85,0.00,2.15,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
