
AMDuProfPcm Report

System:,Family(0x19) Model(0x21) Stepping(0)
Number of Sockets :,1
Number of CCDs :,2
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,16

CPU Topology:
Socket, CCD, Core(s)
0,0, 0 1 2 3 4 5 6 7 16 17 18 19 20 21 22 23
0,1, 8 9 10 11 12 13 14 15 24 25 26 27 28 29 30 31

Core P0 state frequency (MHz):,3400.000000
Measured DF Frequency (MHz):,0.000000
Multiplex interval (ms):,250
Sample interval (ms):,1000
Version:,3.5.671

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Package-0,,,,,,,,,,,,,,,,,,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),Mem Ch-A RdBw (GB/s),Mem Ch-A WrBw (GB/s),Mem Ch-B RdBw (GB/s),Mem Ch-B WrBw (GB/s),Mem Ch-C RdBw (GB/s),Mem Ch-C WrBw (GB/s),Mem Ch-D RdBw (GB/s),Mem Ch-D WrBw (GB/s),Mem Ch-E RdBw (GB/s),Mem Ch-E WrBw (GB/s),Mem Ch-F RdBw (GB/s),Mem Ch-F WrBw (GB/s),Mem Ch-G RdBw (GB/s),Mem Ch-G WrBw (GB/s),Mem Ch-H RdBw (GB/s),Mem Ch-H WrBw (GB/s),
0.11,0.07,0.05,0.03,0.00,0.03,0.00,0.00,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1.86,0.11,1.75,0.05,0.00,0.05,0.00,0.00,0.03,0.01,0.02,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,
1.62,0.08,1.54,0.04,0.00,0.04,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,
14.80,6.73,8.06,3.22,1.89,3.44,1.89,0.04,2.07,0.04,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
33.74,18.74,15.00,9.37,6.31,9.37,6.31,0.00,1.18,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.89,18.75,15.14,9.37,6.34,9.37,6.34,0.00,1.20,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,
34.21,18.86,15.34,9.43,6.49,9.43,6.49,0.00,1.16,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
33.74,18.71,15.03,9.35,6.35,9.35,6.35,0.00,1.15,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.67,18.69,14.98,9.34,6.32,9.34,6.32,0.00,1.15,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.71,18.70,15.01,9.35,6.32,9.35,6.32,0.00,1.16,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
34.10,18.82,15.28,9.41,6.47,9.41,6.47,0.00,1.15,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.72,18.70,15.03,9.35,6.35,9.35,6.35,0.00,1.14,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.68,18.67,15.01,9.33,6.34,9.33,6.34,0.00,1.15,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.58,18.63,14.95,9.31,6.27,9.31,6.27,0.00,1.17,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.84,18.72,15.12,9.36,6.38,9.36,6.38,0.00,1.16,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.98,18.76,15.22,9.38,6.44,9.38,6.44,0.00,1.14,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,
33.65,18.67,14.99,9.33,6.34,9.33,6.34,0.00,1.14,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.78,18.77,15.02,9.38,6.35,9.38,6.35,0.00,1.14,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
33.49,18.60,14.89,9.30,6.27,9.30,6.27,0.00,1.15,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,
33.68,18.66,15.02,9.33,6.33,9.33,6.33,0.00,1.17,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,
33.92,18.74,15.18,9.36,6.43,9.37,6.43,0.00,1.16,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,
33.84,18.70,15.14,9.35,6.40,9.35,6.40,0.00,1.13,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,
33.59,18.60,14.99,9.30,6.31,9.30,6.31,0.00,1.13,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,
33.55,18.62,14.94,9.30,6.29,9.30,6.29,0.00,1.13,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,
33.45,18.56,14.90,9.28,6.26,9.27,6.26,0.00,1.16,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,
33.53,18.58,14.95,9.29,6.28,9.29,6.28,0.00,1.18,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,
33.77,18.66,15.11,9.33,6.37,9.33,6.37,0.00,1.16,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,
33.91,18.70,15.20,9.35,6.43,9.35,6.43,0.00,1.14,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,
