
AMDuProfPcm Report

System:,Family(0x19) Model(0x21) Stepping(0)
Number of Sockets :,1
Number of CCDs :,2
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,16

CPU Topology:
Socket, CCD, Core(s)
0,0, 0 1 2 3 4 5 6 7 16 17 18 19 20 21 22 23
0,1, 8 9 10 11 12 13 14 15 24 25 26 27 28 29 30 31

Core P0 state frequency (MHz):,3400.000000
Measured DF Frequency (MHz):,0.000000
Multiplex interval (ms):,250
Sample interval (ms):,1000
Version:,3.5.671

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Package-0,,,,,,,,,,,,,,,,,,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),Mem Ch-A RdBw (GB/s),Mem Ch-A WrBw (GB/s),Mem Ch-B RdBw (GB/s),Mem Ch-B WrBw (GB/s),Mem Ch-C RdBw (GB/s),Mem Ch-C WrBw (GB/s),Mem Ch-D RdBw (GB/s),Mem Ch-D WrBw (GB/s),Mem Ch-E RdBw (GB/s),Mem Ch-E WrBw (GB/s),Mem Ch-F RdBw (GB/s),Mem Ch-F WrBw (GB/s),Mem Ch-G RdBw (GB/s),Mem Ch-G WrBw (GB/s),Mem Ch-H RdBw (GB/s),Mem Ch-H WrBw (GB/s),
0.04,0.03,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.04,0.03,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.06,0.05,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.04,0.03,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.09,0.07,0.02,0.03,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.05,0.04,0.01,0.02,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.04,0.03,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.83,15.88,14.96,7.93,5.35,7.93,5.35,0.01,2.17,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.87,15.86,15.01,7.93,5.38,7.93,5.38,0.00,2.19,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.89,15.89,15.00,7.94,5.37,7.94,5.37,0.00,2.19,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.90,15.99,14.90,7.99,5.32,7.99,5.32,0.00,2.17,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.86,15.94,14.91,7.97,5.34,7.97,5.34,0.00,2.13,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.83,15.88,14.95,7.94,5.37,7.94,5.36,0.00,2.10,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.84,15.89,14.95,7.94,5.37,7.94,5.37,0.00,2.13,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.85,15.81,15.04,7.90,5.40,7.90,5.40,0.00,2.19,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.91,15.95,14.95,7.97,5.34,7.97,5.34,0.00,2.16,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.85,15.98,14.87,7.99,5.33,7.99,5.33,0.00,2.16,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.82,15.85,14.97,7.92,5.39,7.92,5.39,0.00,2.11,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.90,14.98,7.95,5.37,7.95,5.37,0.00,2.12,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.90,15.91,14.99,7.95,5.36,7.95,5.36,0.00,2.21,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.90,15.87,15.03,7.93,5.38,7.94,5.38,0.00,2.19,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.86,15.95,14.91,7.97,5.34,7.97,5.34,0.00,2.16,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.80,15.94,14.86,7.97,5.34,7.97,5.34,0.00,2.11,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.86,15.85,15.01,7.92,5.38,7.92,5.38,0.00,2.17,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.87,15.89,14.97,7.95,5.36,7.94,5.36,0.00,2.12,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.92,15.85,15.07,7.92,5.39,7.93,5.39,0.00,2.22,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.89,15.90,14.99,7.95,5.35,7.95,5.36,0.00,2.19,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.87,16.02,14.85,8.01,5.31,8.01,5.31,0.00,2.21,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.95,14.94,7.97,5.34,7.97,5.34,0.00,2.19,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.83,15.95,14.88,7.97,5.34,7.97,5.34,0.00,2.15,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.81,15.83,14.98,7.91,5.39,7.91,5.39,0.00,2.19,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.86,15.88,14.98,7.94,5.37,7.94,5.37,0.00,2.17,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.86,15.84,15.01,7.92,5.40,7.92,5.40,0.00,2.20,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.90,15.84,15.06,7.92,5.38,7.92,5.38,0.00,2.22,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.89,14.99,7.94,5.37,7.94,5.36,0.00,2.20,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.89,15.86,15.03,7.93,5.37,7.93,5.37,0.00,2.20,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.83,16.02,14.81,8.01,5.30,8.01,5.30,0.00,2.17,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.86,15.93,14.92,7.96,5.35,7.96,5.35,0.00,2.14,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.93,14.95,7.96,5.35,7.96,5.35,0.00,2.20,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.82,15.93,14.89,7.96,5.36,7.96,5.36,0.00,2.15,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.84,15.81,15.03,7.90,5.40,7.90,5.40,0.00,2.11,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.90,15.91,14.99,7.95,5.36,7.95,5.37,0.00,2.16,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.83,15.97,14.86,7.99,5.33,7.98,5.32,0.00,2.16,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.84,15.87,14.96,7.93,5.37,7.93,5.37,0.00,2.11,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.90,15.82,15.08,7.91,5.40,7.91,5.40,0.00,2.13,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.92,15.98,14.94,7.99,5.34,7.99,5.34,0.00,2.15,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.95,14.93,7.97,5.35,7.97,5.35,0.00,2.15,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.89,15.88,15.01,7.94,5.38,7.94,5.38,0.00,2.12,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.94,15.88,15.06,7.93,5.38,7.94,5.38,0.00,2.16,0.00,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.89,15.96,14.93,7.98,5.34,7.98,5.34,0.00,2.16,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.85,15.86,14.99,7.93,5.38,7.93,5.38,0.00,2.14,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.92,15.89,15.03,7.94,5.37,7.94,5.37,0.00,2.13,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.86,15.99,14.87,7.99,5.32,8.00,5.32,0.00,2.14,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.81,15.84,14.97,7.92,5.38,7.92,5.38,0.00,2.13,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.90,15.86,15.04,7.93,5.38,7.93,5.38,0.00,2.17,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.96,14.93,7.97,5.33,7.97,5.33,0.00,2.19,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.88,15.00,7.94,5.38,7.94,5.38,0.00,2.16,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.85,15.97,14.88,7.98,5.33,7.99,5.34,0.00,2.18,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.81,15.94,14.87,7.97,5.35,7.97,5.35,0.00,2.11,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
30.88,15.83,15.05,7.91,5.40,7.91,5.40,0.00,2.14,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
