
AMDuProfPcm Report

System:,Family(0x19) Model(0x21) Stepping(0)
Number of Sockets :,1
Number of CCDs :,2
Number of Cores :,16
Number of Threads :,32
SMT Enabled in HW:,True
SMT Enabled by OS :,True
Number of Threads sharing L3:,16

CPU Topology:
Socket, CCD, Core(s)
0,0, 0 1 2 3 4 5 6 7 16 17 18 19 20 21 22 23
0,1, 8 9 10 11 12 13 14 15 24 25 26 27 28 29 30 31

Core P0 state frequency (MHz):,3400.000000
Measured DF Frequency (MHz):,0.000000
Multiplex interval (ms):,250
Sample interval (ms):,1000
Version:,3.5.671

Hypervisor Info:
Hypervisor Enabled:,0

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Package-0,,,,,,,,,,,,,,,,,,,
Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),Mem Ch-A RdBw (GB/s),Mem Ch-A WrBw (GB/s),Mem Ch-B RdBw (GB/s),Mem Ch-B WrBw (GB/s),Mem Ch-C RdBw (GB/s),Mem Ch-C WrBw (GB/s),Mem Ch-D RdBw (GB/s),Mem Ch-D WrBw (GB/s),Mem Ch-E RdBw (GB/s),Mem Ch-E WrBw (GB/s),Mem Ch-F RdBw (GB/s),Mem Ch-F WrBw (GB/s),Mem Ch-G RdBw (GB/s),Mem Ch-G WrBw (GB/s),Mem Ch-H RdBw (GB/s),Mem Ch-H WrBw (GB/s),
40.64,22.11,18.53,11.05,7.31,11.05,7.31,0.00,1.89,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.70,21.99,18.71,10.99,7.34,10.99,7.34,0.00,2.03,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.54,21.97,18.57,10.98,7.30,10.98,7.30,0.00,1.94,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.44,21.92,18.52,10.96,7.30,10.96,7.30,0.00,2.00,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.74,22.02,18.73,11.01,7.40,11.01,7.40,0.00,1.99,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.60,22.05,18.55,11.03,7.31,11.03,7.31,0.00,1.99,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.56,21.96,18.61,10.98,7.35,10.98,7.35,0.00,1.92,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.56,22.01,18.54,11.00,7.31,11.01,7.31,0.00,2.01,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.47,21.97,18.50,10.98,7.30,10.98,7.30,0.00,2.02,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.72,21.99,18.74,10.99,7.41,10.99,7.41,0.00,1.97,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.55,22.03,18.52,11.02,7.29,11.02,7.29,0.00,2.03,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.72,22.02,18.69,11.01,7.36,11.01,7.36,0.00,2.05,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.65,22.06,18.59,11.03,7.33,11.03,7.33,0.00,1.96,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.61,22.02,18.59,11.01,7.35,11.01,7.35,0.00,1.98,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.67,22.02,18.65,11.01,7.35,11.01,7.35,0.00,1.95,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.65,22.07,18.59,11.03,7.33,11.03,7.33,0.00,1.95,0.00,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.63,22.05,18.59,11.02,7.33,11.02,7.33,0.00,2.00,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.68,22.01,18.67,11.00,7.33,11.00,7.33,0.00,1.99,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.91,22.18,18.73,11.09,7.38,11.09,7.38,0.00,1.92,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.83,22.21,18.62,11.10,7.39,11.11,7.39,0.00,1.93,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.47,21.88,18.59,10.94,7.32,10.94,7.32,0.00,1.96,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.65,21.98,18.67,10.99,7.35,10.99,7.35,0.00,2.00,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.57,21.99,18.58,10.99,7.33,10.99,7.33,0.00,1.96,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.95,22.23,18.73,11.11,7.38,11.11,7.38,0.00,2.01,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.72,22.04,18.68,11.02,7.39,11.02,7.39,0.00,2.00,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.84,22.04,18.80,11.02,7.41,11.02,7.41,0.00,2.07,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.75,22.16,18.59,11.08,7.33,11.08,7.33,0.00,1.95,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.74,22.05,18.69,11.02,7.36,11.02,7.36,0.00,2.01,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
40.71,22.15,18.57,11.07,7.34,11.07,7.34,0.00,1.96,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
